Name,Grade,Year,School,Conference,Meet_ID,Meet_Name,Meet_Start,Meet_End,Event,Mark,Place,Prelim/Final
CONNOR DEMO,SO,2,ROBERTS,,64811,ECC Indoor Track & Field Championships,"Feb 22, 2020","Feb 22, 2020",800,1:57.03,2,F
CONNOR DEMO,SO,2,ROBERTS,,64811,ECC Indoor Track & Field Championships,"Feb 22, 2020","Feb 22, 2020",Mile,4:21.89,2,F
CONNOR DEMO,SO,2,ROBERTS,,64811,ECC Indoor Track & Field Championships,"Feb 22, 2020","Feb 22, 2020",4x400,3:27.97,5,F
CONNOR DEMO,SO,2,ROBERTS,,63659,GVSU Big Meet (Saturday),"Feb 15, 2020","Feb 15, 2020",DMR,10:06.20,10,F
CONNOR DEMO,SO,2,ROBERTS,,63658,GVSU Big Meet Invite (Friday),"Feb 14, 2020","Feb 14, 2020",Mile,4:15.58,25,F
CONNOR DEMO,SO,2,ROBERTS,,63955,SPIRE Midwest Indoor T&F Open,"Jan 24, 2020","Jan 25, 2020",800,1:57.21,12,F
CONNOR DEMO,SO,2,ROBERTS,,63955,SPIRE Midwest Indoor T&F Open,"Jan 24, 2020","Jan 25, 2020",Mile,4:18.67,3,F
CONNOR DEMO,SO,2,ROBERTS,,63955,SPIRE Midwest Indoor T&F Open,"Jan 24, 2020","Jan 25, 2020",4x400,3:30.44,10,F
CONNOR DEMO,SO,2,ROBERTS,,63652,RIT Tiger Invitational,"Jan 18, 2020","Jan 18, 2020",3000,8:59.69,5,F
CONNOR DEMO,SO,2,ROBERTS,,58305,NCCAA Outdoor Track & Field Championships,"May 8, 2019","May 10, 2019",1500,4:09.22,10,F
CONNOR DEMO,SO,2,ROBERTS,,58305,NCCAA Outdoor Track & Field Championships,"May 8, 2019","May 10, 2019",4x400,3:40.89,11,P
CONNOR DEMO,SO,2,ROBERTS,,57970,"53rd Annual Hillsdale ""GINA"" Relays","Apr 25, 2019","Apr 27, 2019",1500,4:04.02,23,F
CONNOR DEMO,SO,2,ROBERTS,,57737,2019 ECC Outdoor Championships,"Apr 20, 2019","Apr 20, 2019",800,2:00.03,7,F
CONNOR DEMO,SO,2,ROBERTS,,57737,2019 ECC Outdoor Championships,"Apr 20, 2019","Apr 20, 2019",4x400,3:29.79,2,F
CONNOR DEMO,SO,2,ROBERTS,,57438,Bison Outdoor Classic,"Apr 13, 2019","Apr 14, 2019",1500,3:58.88,32,F
JACOB BURGAMY,SR,4,AUGUSTA,,64884,Victor Ice Breaker Duals,"Mar 7, 2020","Mar 7, 2020",5000,14:55.90,3,F
JACOB BURGAMY,SR,4,AUGUSTA,,62836,Cougar Invitational 2020,"Feb 22, 2020","Feb 22, 2020",1500,4:16.38,14,F
JACOB BURGAMY,SR,4,AUGUSTA,,62836,Cougar Invitational 2020,"Feb 22, 2020","Feb 22, 2020",3000,8:48.50,3,F
JACOB BURGAMY,SR,4,AUGUSTA,,58554,Big South Outdoor Track and Field Championships,"May 8, 2019","May 10, 2019",5000,15:50.99,14,F
JACOB BURGAMY,SR,4,AUGUSTA,,58554,Big South Outdoor Track and Field Championships,"May 8, 2019","May 10, 2019",10000,33:02.09,5,F
JACOB BURGAMY,SR,4,AUGUSTA,,55493,Duke Invitational,"Apr 19, 2019","Apr 20, 2019",5000,15:23.56,26,F
JACOB BURGAMY,SR,4,AUGUSTA,,55353,Phoenix Invitational 2019,"Apr 6, 2019","Apr 6, 2019",5000,15:21.40,3,F
JACOB BURGAMY,SR,4,AUGUSTA,,56501,HPU VertKlasse Meeting,"Mar 21, 2019","Mar 23, 2019",5000,15:40.22,4,F
JACOB BURGAMY,SR,4,AUGUSTA,,55871,2019 Liberty Flames Invite,"Feb 2, 2019","Feb 2, 2019",3000,9:06.90,12,F
JACOB BURGAMY,SR,4,AUGUSTA,,55531,Clemson Invitational,"Jan 18, 2019","Jan 19, 2019",3000,9:05.18,15,F
JACOB BURGAMY,SR,4,AUGUSTA,,54961,Gene Anderson Invitational,"Jan 11, 2019","Jan 11, 2019",Mile,4:37.08,6,F
JACOB BURGAMY,SR,4,AUGUSTA,,52498,Elon Opener,"Aug 31, 2018","Aug 31, 2018",3.73M,20:35.0,,N/A
EVAN DEL,nknown,,(JR-3),,63879,2020 MC Season Opener,"Mar 7, 2020","Mar 7, 2020",5000,15:51.01,6,F
EVAN DEL,nknown,,(JR-3),,62881,Leap Day Relays,"Feb 29, 2020","Feb 29, 2020",1500,4:13.13,4,F
EVAN DEL,nknown,,(JR-3),,61700,Gulf South Indoor Track & Field Championships,"Feb 18, 2020","Feb 19, 2020",3000,8:32.63,3,F
EVAN DEL,nknown,,(JR-3),,61700,Gulf South Indoor Track & Field Championships,"Feb 18, 2020","Feb 19, 2020",5000,14:55.89,6,F
EVAN DEL,nknown,,(JR-3),,61700,Gulf South Indoor Track & Field Championships,"Feb 18, 2020","Feb 19, 2020",DMR,10:15.76,3,F
EVAN DEL,nknown,,(JR-3),,57402,Wendy's / Pittsburg State Invitational,"Feb 1, 2020","Feb 1, 2020",3000,8:30.69,9,F
EVAN DEL,nknown,,(JR-3),,57402,Wendy's / Pittsburg State Invitational,"Feb 1, 2020","Feb 1, 2020",DMR,10:31.67,5,F
EVAN DEL,nknown,,(JR-3),,57942,Samford Indoor Clash 2020,"Jan 17, 2020","Jan 18, 2020",5000,15:00.89,1,F
EVAN DEL,nknown,,(JR-3),,57294,BSC Panther Indoor Icebreaker,"Dec 6, 2019","Dec 6, 2019",3000,8:29.16,3,F
EVAN DEL,nknown,,(JR-3),,57294,BSC Panther Indoor Icebreaker,"Dec 6, 2019","Dec 6, 2019",DMR,10:33.89,1,F
GRADY WILKINSON,SR,4,SOUTHERN,,63747,GLVC Championships  Feb 29 -,"Mar 1, 2020","Mar 1, 2020",5000,15:13.72,8,F
GRADY WILKINSON,SR,4,SOUTHERN,,62755,Friday Night Special,"Feb 21, 2020","Feb 21, 2020",3000,8:54.56,8,F
GRADY WILKINSON,SR,4,SOUTHERN,,60322,GVSU Big Meet Invite (Friday),"Feb 14, 2020","Feb 14, 2020",5000,15:13.44,17,F
GRADY WILKINSON,SR,4,SOUTHERN,,59798,Indianapolis Greyhound Invitational,"Feb 1, 2020","Feb 1, 2020",3000,8:57.46,6,F
GRADY WILKINSON,SR,4,SOUTHERN,,58236,John Craft 2020,"Jan 18, 2020","Jan 18, 2020",Mile,4:36.71,24,F
GRADY WILKINSON,SR,4,SOUTHERN,,52943,Bellarmine Invitational,"Mar 29, 2019","Mar 30, 2019",5000,15:13.85,7,F
GRADY WILKINSON,SR,4,SOUTHERN,,54682,GLVC Championships,"Feb 23, 2019","Feb 24, 2019",3000,8:54.98,6,F
GRADY WILKINSON,SR,4,SOUTHERN,,54682,GLVC Championships,"Feb 23, 2019","Feb 24, 2019",5000,15:19.04,2,F
GRADY WILKINSON,SR,4,SOUTHERN,,55250,GVSU Big Meet (Friday),"Feb 8, 2019","Feb 8, 2019",5000,15:08.16,56,F
GRADY WILKINSON,SR,4,SOUTHERN,,54259,Don DeNoon Invitational,"Feb 1, 2019","Feb 2, 2019",3000,8:47.79,5,F
GRADY WILKINSON,SR,4,SOUTHERN,,53133,John Craft 2019,"Jan 18, 2019","Jan 18, 2019",Mile,4:24.72,4,F
GRADY WILKINSON,SR,4,SOUTHERN,,53131,2019 Jim Green Track & Field Invitational,"Jan 11, 2019","Jan 12, 2019",3000,8:47.91,19,F
SHEA VAVRA,JR,3,CAL,,64328,2020 San Diego Collegiate Challenge,"Mar 7, 2020","Mar 7, 2020",3000,9:02.73,16,F
SHEA VAVRA,JR,3,CAL,,58755,2019 Oxy Invitational,"May 11, 2019","May 11, 2019",1500,3:58.79,37,F
SHEA VAVRA,JR,3,CAL,,51617,CCAA Track & Field Championships,"May 2, 2019","May 4, 2019",1500,4:00.07,8,P
SHEA VAVRA,JR,3,CAL,,48980,Beach Invitational,"Apr 19, 2019","Apr 20, 2019",1500,4:01.79,43,F
SHEA VAVRA,JR,3,CAL,,48102,Bryan Clay Invitational,"Apr 17, 2019","Apr 19, 2019",1500,4:07.30,148,F
SHEA VAVRA,JR,3,CAL,,48027,2019 Triton Invitational,"Apr 12, 2019","Apr 13, 2019",5000,16:16.06,25,F
SHEA VAVRA,JR,3,CAL,,48441,2019 San Diego Collegiate Challenge,"Mar 9, 2019","Mar 9, 2019",800,1:55.02,2,F
SHEA VAVRA,JR,3,CAL,,48441,2019 San Diego Collegiate Challenge,"Mar 9, 2019","Mar 9, 2019",4x400,DNF,N/A,N/A
SHEA VAVRA,JR,3,CAL,,48786,RCC Invitational,"Mar 1, 2019","Mar 1, 2019",1500,3:58.69,2,F
SHEA VAVRA,JR,3,CAL,,48786,RCC Invitational,"Mar 1, 2019","Mar 1, 2019",3000,9:07.79,17,F
SHEA VAVRA,JR,3,CAL,,48062,23rd Rossi Relays,"Feb 23, 2019","Feb 23, 2019",4x400,3:32.61,11,F
SHEA VAVRA,JR,3,CAL,,48062,23rd Rossi Relays,"Feb 23, 2019","Feb 23, 2019",DMR,10:42.62,10,F
SHEA VAVRA,JR,3,CAL,,47545,NCAA Division II West Region Cross Country Championships,"Nov 17, 2018","Nov 17, 2018",6.2M,31:44.0,,N/A
TUCKER DAHLE,SR,4,NW,,65174,MIAA Indoor Track & Field Championships  Feb 28 -,"Mar 1, 2020","Mar 1, 2020",Mile,4:22.03,13,F
TUCKER DAHLE,SR,4,NW,,65174,MIAA Indoor Track & Field Championships  Feb 28 -,"Mar 1, 2020","Mar 1, 2020",DMR,10:19.21,6,F
TUCKER DAHLE,SR,4,NW,,63883,2020 Nebraska Tune-Up,"Feb 21, 2020","Feb 21, 2020",Mile,4:24.39,13,F
TUCKER DAHLE,SR,4,NW,,63901,5th Annual Indoor Gorilla Classic,"Feb 14, 2020","Feb 15, 2020",3000,9:07.90,49,F
TUCKER DAHLE,SR,4,NW,,64962,2020 Bearcat Open,"Feb 7, 2020","Feb 8, 2020",800,2:00.24,46,F
TUCKER DAHLE,SR,4,NW,,64962,2020 Bearcat Open,"Feb 7, 2020","Feb 8, 2020",Mile,4:25.34,14,F
TUCKER DAHLE,SR,4,NW,,63635,2019 Mel Tjeerdsma Classic,"Dec 6, 2019","Dec 7, 2019",3000,8:49.27,3,F
TUCKER DAHLE,SR,4,NW,,59595,MIAA Championships,"May 3, 2019","May 5, 2019",3000S,DNF,N/A,N/A
TUCKER DAHLE,SR,4,NW,,59355,2019 Kip Janvrin Open,"Apr 25, 2019","Apr 26, 2019",1500,4:03.70,6,F
TUCKER DAHLE,SR,4,NW,,57760,Kansas Relays,"Apr 17, 2019","Apr 20, 2019",3000S,9:47.77,2,F
TUCKER DAHLE,SR,4,NW,,58770,11th Annual David Suenram Gorilla Classic,"Apr 13, 2019","Apr 13, 2019",800,2:02.34,12,F
TUCKER DAHLE,SR,4,NW,,58770,11th Annual David Suenram Gorilla Classic,"Apr 13, 2019","Apr 13, 2019",1500,4:09.36,7,F
TUCKER DAHLE,SR,4,NW,,57982,SBU Invite,"Apr 6, 2019","Apr 6, 2019",3000S,10:00.77,9,F
TUCKER DAHLE,SR,4,NW,,56742,MIAA Indoor Track & Field Championships,"Feb 22, 2019","Feb 24, 2019",Mile,4:22.40,16,F
TUCKER DAHLE,SR,4,NW,,56742,MIAA Indoor Track & Field Championships,"Feb 22, 2019","Feb 24, 2019",DMR,10:17.42,6,F
TUCKER DAHLE,SR,4,NW,,56497,2019 KSU Steve Miller Open,"Feb 16, 2019","Feb 16, 2019",800,2:01.76,,F
TUCKER DAHLE,SR,4,NW,,55826,2019 Bearcat Invite,"Feb 8, 2019","Feb 9, 2019",Mile,4:23.98,8,F
TUCKER DAHLE,SR,4,NW,,54682,Pittsburg State Invitational,"Jan 26, 2019","Jan 26, 2019",3000,9:09.31,48,F
TUCKER DAHLE,SR,4,NW,,54947,2019 Northwest Open,"Jan 19, 2019","Jan 19, 2019",800,2:01.83,26,F
TUCKER DAHLE,SR,4,NW,,54947,2019 Northwest Open,"Jan 19, 2019","Jan 19, 2019",Mile,4:27.67,16,F
TUCKER DAHLE,SR,4,NW,,53951,2018 Mel Tjeerdsma Classic,"Dec 7, 2018","Dec 8, 2018",Mile,4:27.74,4,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,65105,Seattle Pacific Final Qualifier 2020,"Feb 29, 2020","Feb 29, 2020",3000,8:16.73,1,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,64736,GNAC Indoor Track & Field Championship,"Feb 21, 2020","Feb 22, 2020",3000,8:31.80,2,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,64736,GNAC Indoor Track & Field Championship,"Feb 21, 2020","Feb 22, 2020",5000,14:51.79,2,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,64008,Portland Indoor Meet #2,"Feb 8, 2020","Feb 9, 2020",3000,8:27.29,2,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,63512,2020 UW Invitational  Jan 31 -,"Feb 1, 2020","Feb 1, 2020",5000,14:36.45,20,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,58638,2019 GNAC Cross Country Championships,"Oct 26, 2019","Oct 26, 2019",4.94M,25:25.6,,N/A
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,57803,GNAC Outdoor Track & Field Championships,"May 10, 2019","May 10, 2019",5000,15:04.15,4,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,57803,GNAC Outdoor Track & Field Championships,"May 10, 2019","May 10, 2019",10000,32:19.18,2,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,58283,WWU Ralph Vernacchia Invitational,"Apr 27, 2019","Apr 27, 2019",5000,14:47.71,2,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,56249,Saint Martin's Jay Hammer Open,"Apr 13, 2019","Apr 13, 2019",1500,4:06.28,9,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,55695,WWU Team Invitational,"Apr 5, 2019","Apr 5, 2019",5000,15:19.5H,5,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,54070,UBC Open,"Mar 30, 2019","Mar 31, 2019",800,2:05.39,15,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,54070,UBC Open,"Mar 30, 2019","Mar 31, 2019",1500,4:06.29,14,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,54866,2019 PLU Open,"Mar 9, 2019","Mar 9, 2019",1500,4:09.26,11,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,54866,2019 PLU Open,"Mar 9, 2019","Mar 9, 2019",4x400,3:36.27,8,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,53404,Ed Boitano Invitational,"Mar 2, 2019","Mar 2, 2019",10000,31:38.74,4,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,53404,Ed Boitano Invitational,"Mar 2, 2019","Mar 2, 2019",4x400,3:41.34,5,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,54358,WSU Cougar Indoor,"Feb 1, 2019","Feb 2, 2019",3000,9:02.16,9,F
EDWARD KIOLBASA,REDSHIRT,UNATTACHED,WESTERN,,52596,NCAA Division II West Region Cross Country Championships,"Nov 17, 2018","Nov 17, 2018",6.2M,32:28.9,,N/A
DEYAGO PERAZA,FR,1,WESTERN,,64736,GNAC Indoor Track & Field Championship,"Feb 21, 2020","Feb 22, 2020",3000,8:49.03,12,F
DEYAGO PERAZA,FR,1,WESTERN,,64736,GNAC Indoor Track & Field Championship,"Feb 21, 2020","Feb 22, 2020",5000,15:04.76,4,F
DEYAGO PERAZA,FR,1,WESTERN,,64008,Portland Indoor Meet #2,"Feb 8, 2020","Feb 9, 2020",3000,8:41.75,17,F
DEYAGO PERAZA,FR,1,WESTERN,,63512,2020 UW Invitational  Jan 31 -,"Feb 1, 2020","Feb 1, 2020",5000,14:44.04,29,F
JUSTIN MOORE,JR,3,FORT,,65174,MIAA Indoor Track & Field Championships  Feb 28 -,"Mar 1, 2020","Mar 1, 2020",3000,8:51.05,17,F
JUSTIN MOORE,JR,3,FORT,,65174,MIAA Indoor Track & Field Championships  Feb 28 -,"Mar 1, 2020","Mar 1, 2020",5000,15:17.69,15,F
JUSTIN MOORE,JR,3,FORT,,63901,5th Annual Indoor Gorilla Classic,"Feb 14, 2020","Feb 15, 2020",5000,15:11.79,29,F
JUSTIN MOORE,JR,3,FORT,,64627,Wendy's / Pittsburg State Invitational,"Feb 1, 2020","Feb 1, 2020",3000,8:49.65,32,F
JUSTIN MOORE,JR,3,FORT,,62509,2020 Northwest Open,"Jan 24, 2020","Jan 25, 2020",5000,15:08.88,2,F
JUSTIN MOORE,JR,3,FORT,,57760,MIAA Championships,"May 3, 2019","May 5, 2019",5000,15:17.03,6,F
JUSTIN MOORE,JR,3,FORT,,57760,MIAA Championships,"May 3, 2019","May 5, 2019",10000,31:49.70,9,F
JUSTIN MOORE,JR,3,FORT,,58770,Bryan Clay Invitational,"Apr 17, 2019","Apr 19, 2019",5000,14:47.85,2,F
JUSTIN MOORE,JR,3,FORT,,54507,Colorado Invitational 2019,"Apr 5, 2019","Apr 6, 2019",1500,4:06.72,44,F
JUSTIN MOORE,JR,3,FORT,,54507,Colorado Invitational 2019,"Apr 5, 2019","Apr 6, 2019",4x400,3:35.03,17,F
JUSTIN MOORE,JR,3,FORT,,54947,Emporia State Spring Invite,"Mar 23, 2019","Mar 23, 2019",5000,14:59.81,3,F
TRENT COCHRAN,SO,2,COLO.,,64615,Air Force Collegiate Open,"Feb 21, 2020","Feb 21, 2020",Mile,4:30.27,8,F
MARCELO RAMIREZ,JR,3,CAL,,65783,Beach Opener,"Mar 7, 2020","Mar 7, 2020",1500,4:01.28,10,F
MARCELO RAMIREZ,JR,3,CAL,,63669,Rossi Relays,"Feb 22, 2020","Feb 22, 2020",DMR,10:36.09,5,F
PIERRE GALDBOURDIN,SR,4,SAINT,,64537,Tampa Track Classic #2,"Feb 28, 2020","Feb 28, 2020",5000,14:57.78,17,F
PIERRE GALDBOURDIN,SR,4,SAINT,,64536,Tampa Track Classic #1,"Feb 21, 2020","Feb 21, 2020",3000,DNF,N/A,N/A
PIERRE GALDBOURDIN,SR,4,SAINT,,63989,South Carolina Invitational,"Feb 7, 2020","Feb 8, 2020",5000,15:12.15,8,F
PIERRE GALDBOURDIN,SR,4,SAINT,,63989,South Carolina Invitational,"Feb 7, 2020","Feb 8, 2020",DMR,10:46.09,8,F
PIERRE GALDBOURDIN,SR,4,SAINT,,62642,2020 KMS Invitational,"Jan 26, 2020","Jan 26, 2020",DMR,10:38.09,2,F
PIERRE GALDBOURDIN,SR,4,SAINT,,63537,UAB Green and Gold Invitational,"Jan 24, 2020","Jan 25, 2020",3000,8:45.21,1,F
PIERRE GALDBOURDIN,SR,4,SAINT,,62885,Emory Crossplex Showdown,"Jan 19, 2020","Jan 19, 2020",5000,15:00.58,1,F
GABE PLENDCIO,SR,4,BIOLA,,65783,Beach Opener,"Mar 7, 2020","Mar 7, 2020",3000,8:27.57,2,F
GABE PLENDCIO,SR,4,BIOLA,,56297,PacWest Outdoor Track & Field Championships,"Apr 26, 2019","Apr 27, 2019",1500,4:03.35,9,P
GABE PLENDCIO,SR,4,BIOLA,,56297,PacWest Outdoor Track & Field Championships,"Apr 26, 2019","Apr 27, 2019",5000,15:05.03,2,F
GABE PLENDCIO,SR,4,BIOLA,,53679,Bryan Clay Invitational,"Apr 17, 2019","Apr 19, 2019",5000,15:18.49,23,F
GABE PLENDCIO,SR,4,BIOLA,,54349,Biola @ Westmont,"Apr 13, 2019","Apr 13, 2019",1500,4:01.31,2,F
GABE PLENDCIO,SR,4,BIOLA,,54349,Biola @ Westmont,"Apr 13, 2019","Apr 13, 2019",3000,8:43.02,3,F
GABE PLENDCIO,SR,4,BIOLA,,53341,2019 Pomona-Pitzer Invitational (College/Univ),"Apr 6, 2019","Apr 6, 2019",1500,3:59.37,30,F
GABE PLENDCIO,SR,4,BIOLA,,52944,Mike Fanelli Track Classic,"Mar 28, 2019","Mar 30, 2019",5000,15:16.30,124,F
GABE PLENDCIO,SR,4,BIOLA,,52493,41st Annual Aztec Invitational,"Mar 22, 2019","Mar 23, 2019",3000,8:43.34,10,F
GABE PLENDCIO,SR,4,BIOLA,,48879,NCCAA Championship,"May 10, 2018","May 11, 2018",5000,15:01.51,3,F
GABE PLENDCIO,SR,4,BIOLA,,48879,NCCAA Championship,"May 10, 2018","May 11, 2018",4x800,7:46.61,2,F
TAYLOR STACK,SR,4,WESTERN,,63513,RMAC Indoor Track & Field Championships,"Feb 28, 2020","Feb 29, 2020",3000,8:42.88,4,F
TAYLOR STACK,SR,4,WESTERN,,63513,RMAC Indoor Track & Field Championships,"Feb 28, 2020","Feb 29, 2020",5000,14:44.92,1,F
TAYLOR STACK,SR,4,WESTERN,,64622,Western Colorado Alumni Open,"Feb 21, 2020","Feb 21, 2020",3000,DNF,N/A,N/A
TAYLOR STACK,SR,4,WESTERN,,63633,2020 Husky Classic (College),"Feb 14, 2020","Feb 15, 2020",3000,8:06.92,26,F
TAYLOR STACK,SR,4,WESTERN,,62377,2020 Power 5,"Jan 24, 2020","Jan 25, 2020",3000,8:36.23,1,F
